	name	P(score>  0.99)	P(score>  0.95)	P(score>  0.90)	P(score>  0.85)	P(score>  0.80)
372	DOC#457	0.383	0.858	0.987	0.999	1.0
373	DOC#458	0.0	0.0	0.318	0.863	0.998
374	DOC#459	0.395	0.851	0.992	1.0	1.0
375	DOC#460	0.0	0.312	0.78	0.953	0.994
376	DOC#461	0.0	0.0	0.0	0.029	0.15
377	DOC#462	0.0	0.001	0.067	0.32	0.665
378	DOC#463	0.0	0.0	0.048	0.346	0.748
379	DOC#464	0.0	0.0	0.0	0.071	0.43
380	DOC#466	0.0	0.0	0.0	0.07	0.614
381	DOC#467	0.24	0.711	0.973	0.999	1.0
382	DOC#468	0.0	0.0	0.0	0.088	0.383
383	DOC#469	0.0	0.0	0.121	0.468	0.811
384	DOC#470	0.0	0.0	0.05	0.21	0.494
385	DOC#472	0.0	0.238	0.528	0.902	0.995
386	DOC#473	0.0	0.0	0.0	0.0	0.0
387	DOC#475	0.392	0.836	0.992	1.0	1.0
388	DOC#476	0.0	0.0	0.0	0.0	0.0
389	DOC#478	0.227	0.692	0.95	0.997	1.0
390	DOC#480	0.0	0.0	0.59	0.958	0.999
391	DOC#481	0.0	0.08	0.476	0.846	0.986
392	DOC#482	0.0	0.0	0.0	0.0	0.0
393	DOC#483	0.241	0.673	0.96	0.996	1.0
394	DOC#484	0.417	0.832	0.989	1.0	1.0
395	DOC#485	0.0	0.0	0.312	0.666	0.915
396	DOC#486	0.528	0.921	1.0	1.0	1.0
397	DOC#487	0.0	0.363	0.884	0.996	1.0
398	DOC#488	0.0	0.644	0.97	1.0	1.0
399	DOC#489	0.0	0.0	0.16	0.221	0.442
400	DOC#493	0.0	0.0	0.0	0.0	0.385
401	DOC#494	0.0	0.154	0.717	0.978	0.998
402	DOC#495	0.0	0.0	0.628	0.974	1.0
403	DOC#496	0.0	0.0	0.0	0.0	0.0
404	DOC#497	0.0	0.0	0.0	0.057	0.196
405	DOC#498	0.0	0.0	0.0	0.0	0.0
406	DOC#501	0.0	0.0	0.0	0.0	0.0
407	DOC#502	0.244	0.673	0.947	0.995	0.999
408	DOC#503	0.0	0.0	0.0	0.0	0.457
409	DOC#504	0.0	0.075	0.461	0.864	0.987
410	DOC#505	0.382	0.839	0.992	0.999	1.0
411	DOC#506	0.585	0.935	1.0	1.0	1.0
412	DOC#507	0.0	0.0	0.0	0.0	0.0
413	DOC#508	0.234	0.68	0.945	0.993	1.0
414	DOC#509	0.0	0.405	0.875	0.99	1.0
415	DOC#511	0.23	0.705	0.96	0.995	1.0
416	DOC#512	0.396	0.857	0.989	1.0	1.0
417	DOC#515	0.0	0.0	0.0	0.022	0.161
418	DOC#516	0.0	0.0	0.0	0.0	0.103
419	DOC#517	0.0	0.0	0.0	0.0	0.0
420	DOC#518	0.392	0.859	0.991	1.0	1.0
421	DOC#520	0.0	0.0	0.0	0.339	0.881
422	DOC#521	0.0	0.003	0.092	0.408	0.786
423	DOC#522	0.0	0.0	0.0	0.194	0.612
424	DOC#523	0.0	0.0	0.018	0.231	0.66
425	DOC#525	0.0	0.0	0.187	0.391	0.598
426	DOC#529	0.0	0.0	0.0	0.004	0.036
427	DOC#530	0.247	0.712	0.963	0.998	1.0
428	DOC#531	0.0	0.0	0.0	0.0	0.0
429	DOC#534	0.0	0.0	0.0	0.0	0.0
